ID,Type_of_Feature,Score_0_5,Name_of_the_user,Age,Sex,Location,City
1,Sensor Accuracy,3.2,User1,20,M,USA,New York
2,Wear Duration,4.5,User2,21,F,Canada,Toronto
3,Mobile App & Alerts,2.8,User3,22,M,UK,London
4,Data Continuity,5.0,User4,23,F,Germany,Berlin
5,Adaptive AI Insights,4.0,User5,24,M,France,Paris
6,Sensor Comfort,1.5,User6,25,F,Spain,Madrid
7,Adhesive Reliability,3.7,User7,26,M,Japan,Tokyo
8,Battery Life,2.2,User8,27,F,Australia,Sydney
9,Calibration Process,4.9,User9,28,M,Brazil,Rio de Janeiro
10,Trend Arrows,3.0,User10,29,F,South Africa,Cape Town
11,Sensor Accuracy,3.2,User11,30,M,USA,New York
12,Wear Duration,4.5,User12,31,F,Canada,Toronto
13,Mobile App & Alerts,2.8,User13,32,M,UK,London
14,Data Continuity,5.0,User14,33,F,Germany,Berlin
15,Adaptive AI Insights,4.0,User15,34,M,France,Paris
16,Sensor Comfort,1.5,User16,35,F,Spain,Madrid
17,Adhesive Reliability,3.7,User17,36,M,Japan,Tokyo
18,Battery Life,2.2,User18,37,F,Australia,Sydney
19,Calibration Process,4.9,User19,38,M,Brazil,Rio de Janeiro
20,Trend Arrows,3.0,User20,39,F,South Africa,Cape Town
21,Sensor Accuracy,3.2,User21,40,M,USA,New York
22,Wear Duration,4.5,User22,41,F,Canada,Toronto
23,Mobile App & Alerts,2.8,User23,42,M,UK,London
24,Data Continuity,5.0,User24,43,F,Germany,Berlin
25,Adaptive AI Insights,4.0,User25,44,M,France,Paris
26,Sensor Comfort,1.5,User26,45,F,Spain,Madrid
27,Adhesive Reliability,3.7,User27,46,M,Japan,Tokyo
28,Battery Life,2.2,User28,47,F,Australia,Sydney
29,Calibration Process,4.9,User29,48,M,Brazil,Rio de Janeiro
30,Trend Arrows,3.0,User30,49,F,South Africa,Cape Town
31,Sensor Accuracy,3.2,User31,50,M,USA,New York
32,Wear Duration,4.5,User32,20,F,Canada,Toronto
33,Mobile App & Alerts,2.8,User33,21,M,UK,London
34,Data Continuity,5.0,User34,22,F,Germany,Berlin
35,Adaptive AI Insights,4.0,User35,23,M,France,Paris
36,Sensor Comfort,1.5,User36,24,F,Spain,Madrid
37,Adhesive Reliability,3.7,User37,25,M,Japan,Tokyo
